focal_ID,focal_sp,dbh,foldID,growth,caca,ceoc,fram,frni,havi,litu,nysy,saal,tiam,ulam,cagl,unk,quru,cato,fagr,libe,astr,frpe,quve,ulru,ceca,caco,cofl,qual,juni,acru,caovl,amar,prav,vipr,prse,pist,acne,qupr,elum,juci,saca,cade,crsp,ploc,chvi,ilve,divi,crpr,qumi,qufa,quco,rops,pivi
4,nysy,136.5,1,0.10296642747309073,1.3149238153361322,0.8494866535306801,0.2042820622996763,1.4356324444668491,0.6415524897712056,28.293186579822333,2.9748722584546,1.2867963509103792,24.661479554133138,0.17349445429449634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,havi,88,1,0.14976934905176834,4.581957121991112,0.8494866535306801,0,1.4356324444668491,2.3066154457297174,0,8.441152369513887,0,32.26154510347388,0,0.6193210093580774,0.3318307240354219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,tiam,476.6,2,-0.16141572456320702,4.524130611414648,0,3.236547291544545,0,0,0,5.95885277941012,0,7.952253793771424,0,10.607293070534663,0,28.814097984704876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,caca,51.5,1,0.25338514902363823,2.4457424471902685,0,0,0,0,13.82145651442238,0.3557296047494428,0,20.95689621826046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,libe,23,2,0.26209636084059457,1.5252942841984656,0,4.505063500201849,0,0,0,0,0,19.618829075243493,0,0,0,0,2.8802317797652073,0.5808804816487527,0.23307083197900977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,litu,654.5,6,0.5519915471311476,0,0,0,0,0,31.390545608849585,0,0,0,0.10578449322983892,2.531323358064871,0,0.475388941933861,1.0109810092866267,0,0.06788667565142183,0.05409194230950906,0.27805058479678163,0.3216990877275948,0.30326186584183973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,astr,19.9,6,0.09542904713114757,0,0,0,0,0,54.235642684475074,0,0,0,0,0.8251000405571893,0,0,5.630817099300233,0,0,0.4569752819930079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,cato,374,1,0.16461971830985916,0.5926025492374597,0,0,0,0.12503617301103717,0,0,0,1.2505408008916261,0,13.993314198944358,0,0,4.154756284372501,0,0,0.2163826918031408,0,0,0,0.18171050448179704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,caca,87.2,6,0.03701858108108102,0.5306809726370415,0,0,0,0,18.01960133493361,0,0,0,0,1.1002595747145048,0,0,4.266290677556572,0,0,0,0,0,0,0,0.7666617048114387,0.0804247719318987,42.52075677657427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,astr,17.1,2,0.054910575427682705,1.4806286906460526,0,6.701206411064409,0,0,22.387712601189353,0,0,7.102216576128202,0,0,0,0,0,0,0,0.7458180229530339,0,0,0.967689077121996,0,0,0,0,5.557163244934985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
